submission_id,question,startDate,mentioned_file,DP,question_file,unmentioned_element,experiment_id,picture2,det_competitor,competitor,target_position,time_spent,option4,det_target,option2,option3,option1,condition,item_id,endTime,item_type,complete_answer,target,age,response,comments,picture1,education,QUD,answer_file,expected_response,languages,prolific_id,item_name,unmentioned_file,gender,picture3,trial_number,startTime,chunked_answer,picture4,timeSpent,mentioned_element,reaction_times,pictureChoices,trial_name,incomplete_answer,list
1,Ist das ein Stachelrochen?,Sat Oct 19 2019 07:32:39 GMT+0200 (CEST),NA,NA,q_f_pfeilschwanzkrebs.wav,NA,1,images/horseshoecrab.jpg,NA,NA,NA,9899,slug,NA,horseshoecrab,porcupine,butterfly,filler,215,1571463185948,filler,"Nein, das ist ein Pfeilschwanzkrebs, der hat eine harte Schale. ",NA,,slug,,images/butterfly.jpg,,,f_pfeilschwanzkrebs.wav,horseshoecrab,,asdfasdf,horseshoe-crab,NA,,images/porcupine.jpg,1,1571463159734,"Nein, | das ist | ein Pfeilschwanzkrebs, | der hat | eine harte Schale. ",images/slug.jpg,0.4369,NA,1367|1589|2837|1927,butterfly|horseshoecrab|slug|porcupine|slug,poor_folks_visual_world_training,"Nein, das ist ein ..., der hat eine harte Schale.",3
1,Ist das etwas was man zum Kämpfen benutzt?,Sat Oct 19 2019 07:32:39 GMT+0200 (CEST),NA,NA,q_f_boxhandschuh.wav,NA,1,images/stovetop.jpg,NA,NA,NA,4796,boxingglove01,NA,stovetop,hedgeshears,pedestriancrossingsign,filler,225,1571463185948,filler,"Ja, das ist ein Boxhandschuh.",NA,,stovetop,,images/pedestriancrossingsign.jpg,,,f_boxhandschuh.wav,boxingglove01,,asdfasdf,boxing-glove,NA,,images/hedgeshears.jpg,2,1571463159734,"Ja, | das ist | ein Boxhandschuh.",images/boxingglove01.jpg,0.4369,NA,1430|1846,hedgeshears|boxingglove01|stovetop,poor_folks_visual_world_training,"Ja, das ist ein ?",5
1,Gehört das auf Autoräder?,Sat Oct 19 2019 07:32:39 GMT+0200 (CEST),NA,NA,q_f_radkappe.wav,NA,1,images/hubcap.jpg,NA,NA,NA,5073,discoball,NA,hubcap,crown,exercisemachine,filler,242,1571463185948,filler,"Ja, das ist eine Radkappe.",NA,,discoball,,images/exercisemachine.jpg,,,f_radkappe.wav,hubcap,,asdfasdf,hubcap,NA,,images/crown.jpg,1,1571463159734,"Ja, | das ist | eine Radkappe.",images/discoball.jpg,0.4369,NA,1666|1358,exercisemachine|hubcap|discoball,poor_folks_visual_world,"Ja, das ist eine ...",7
2,"Findest du nicht, dass dieses Tier schöne Punkte hat?",Sat Oct 19 2019 07:56:36 GMT+0200 (Mitteleuropäische Sommerzeit),NA,NA,q_f_gepard.wav,NA,1,images/cormorant.jpg,NA,NA,NA,32115,swan,NA,cormorant,africanelephant,cheetah,filler,212,1571464770219,filler,"Ja, der Gepard hat schöne Flecken.",NA,36,cheetah,Deutsch,images/cheetah.jpg,Abitur,,f_gepard.wav,cheetah,,582630568061bd0001327245,cheetah,NA,weiblich,images/africanelephant.jpg,1,1571464596086,"Ja, | der Gepard hat | schöne Flecken.",images/swan.jpg,2.9022166666666664,NA,10125|15276,cheetah|cheetah|cheetah,poor_folks_visual_world_training,"Ja, der ... hat schöne Flecken.",2
2,Magst du auch das große Rad?,Sat Oct 19 2019 07:56:36 GMT+0200 (Mitteleuropäische Sommerzeit),NA,NA,q_f_wagenrad.wav,NA,1,images/menwashroomsign.jpg,NA,NA,NA,27704,wagonwheel,NA,menwashroomsign,aloe01,kidpicnictable,filler,232,1571464770219,filler,"Ja, das ist ein großes Wagenrad. ",NA,36,wagonwheel,Deutsch,images/kidpicnictable.jpg,Abitur,,f_wagenrad.wav,wagonwheel,,582630568061bd0001327245,wagon-wheel,NA,weiblich,images/aloe01.jpg,2,1571464596086,"Ja, | das ist | ein großes Wagenrad. ",images/wagonwheel.jpg,2.9022166666666664,NA,3286|20575,wagonwheel|wagonwheel|wagonwheel,poor_folks_visual_world_training,"Ja, das ist ein großes ...",6
2,Benutzt man das hier um Waffeln zu machen?,Sat Oct 19 2019 07:56:36 GMT+0200 (Mitteleuropäische Sommerzeit),NA,NA,q_f_waffeleisen.wav,NA,1,images/wafflemaker.jpg,NA,NA,NA,25526,chandelier,NA,wafflemaker,scooter,flower01,filler,248,1571464770219,filler,"Ja, das ist ein Waffeleisen.",NA,36,wafflemaker,Deutsch,images/flower01.jpg,Abitur,,f_waffeleisen.wav,wafflemaker,,582630568061bd0001327245,waffle-maker,NA,weiblich,images/scooter.jpg,1,1571464596086,"Ja, | das ist | ein Waffeleisen.",images/chandelier.jpg,2.9022166666666664,NA,3748|2452,wafflemaker|wafflemaker|wafflemaker,poor_folks_visual_world,"Ja, das ist ein ...",8
3,"Wie heißt das gelbe Ding, was man werfen kann?",Sat Oct 19 2019 06:58:38 GMT+0100 (Britische Sommerzeit),NA,NA,q_f_frisbee.wav,NA,1,images/trailer.jpg,NA,NA,NA,18191,shipinabottle,NA,trailer,frisbee,ferry,filler,219,1571464807227,filler,Das ist eine Frisbee. ,NA,23,frisbee,,images/ferry.jpg,Universitärer Abschluss,,f_frisbee.wav,frisbee,Deutsch,5c7158ed61dd7e0001a15bfa,frisbee,NA,männlich,images/frisbee.jpg,1,1571464718756,Das ist | eine Frisbee. ,images/shipinabottle.jpg,1.4745166666666667,NA,7248,frisbee|frisbee,poor_folks_visual_world_training,Das ist eine ...,4
3,"Ist das gelbe Ding, das, wovon wir Honig bekommen?",Sat Oct 19 2019 06:58:38 GMT+0100 (Britische Sommerzeit),NA,NA,q_f_bienenwabe.wav,NA,1,images/wallclock.jpg,NA,NA,NA,15442,honeycomb,NA,wallclock,machete,windshieldwiper,filler,230,1571464807227,filler,"Ja, das ist eine Bienenwabe.",NA,23,honeycomb,,images/windshieldwiper02.jpg,Universitärer Abschluss,,f_bienenwabe.wav,honeycomb,Deutsch,5c7158ed61dd7e0001a15bfa,honeycomb,NA,männlich,images/machete.jpg,2,1571464718756,"Ja, | das ist | eine Bienenwabe.",images/honeycomb.jpg,1.4745166666666667,NA,5772|3560,honeycomb|honeycomb|honeycomb,poor_folks_visual_world_training,"Ja, das ist eine ...",5
3,Magst du auch das weiße Tier?,Sat Oct 19 2019 06:58:38 GMT+0100 (Britische Sommerzeit),NA,NA,q_f_suesserwal.wav,NA,1,images/tarantula.jpg,NA,NA,NA,13319,belugawhale,NA,tarantula,siamesecat,barnowl,filler,213,1571464807227,filler,"Ja, das ist ein süßer Waal.",NA,23,belugawhale,,images/barnowl.jpg,Universitärer Abschluss,,f_süßerwal.wav,belugawhale,Deutsch,5c7158ed61dd7e0001a15bfa,beluga-whale,NA,männlich,images/siamesecat.jpg,1,1571464718756,"Ja, | das ist | ein süßer Waal.",images/belugawhale.jpg,1.4745166666666667,NA,5095|3672,belugawhale|belugawhale|belugawhale,poor_folks_visual_world,"Ja, das ist ein süßer ...",3
4,Magst du auch das Tier mit den schwarzen Punkten?,Sat Oct 19 2019 07:58:19 GMT+0200 (Mitteleuropäische Sommerzeit),NA,NA,q_f_marienkaefer.wav,NA,1,images/ostrich.jpg,NA,NA,NA,108610,sturgeon,NA,ostrich,ladybug03,zebra,filler,204,1571464994505,filler,"Ja, das ist ein sehr schöner Marienkäfer. ",NA,44,ladybug03,,images/zebra.jpg,Abitur,,f_marienkaefer.wav,ladybug03,Deutsch,5b3621b606f9f90001fb4734,ladybug,NA,weiblich,images/ladybug03.jpg,1,1571464699643,"Ja, | das ist | ein sehr schöner Marienkäfer. ",images/sturgeon.jpg,4.914366666666667,NA,5704|8105,ladybug03|ladybug03|ladybug03,poor_folks_visual_world_training,"Ja, das ist ein sehr schöner ...",1
